,Author,Title,Lyrics
10,Yella Beezy featuring Lil Baby, “Up One” Remix,
11,Childish Gambino, “This Is America”,"This Is America par Childish Gambino\nYeah, yeah, yeah, yeah, yeah\n\n\nYeah, yeah, yeah, go, go away\n\n\nYeah, yeah, yeah, yeah, yeah\n\n\nYeah, yeah, yeah, go, go away\n\n\nYeah, yeah, yeah, yeah, yeah\n\n\nYeah, yeah, yeah, go, go away\n\n\nYeah, yeah, yeah, yeah, yeah\n\n\nYeah, yeah, yeah, go, go away\n\n\n\n\n\n[Childish Gambino & Young Thug]\n\n\nWe just wanna party\n\n\nParty just for you\n\n\nWe just want the money\n\n\nMoney just for you\n\n\nI don't wanna party\n\n\nParty just for me\n\n\n\n\n\n\nGirl, you got me dancin' (yeah, girl, you got me dancin')\n\n\nDance and shake the frame\n\n\nWe just wanna party (yeah)\n\n\nParty just for you (yeah)\n\n\nWe just want the money (yeah)\n\n\nMoney just for you (you)\n\n\nI don't wanna party (yeah)\n\n\nParty just for me (yeah)\n\n\nGirl, you got me dancin' (yeah, girl, you got me dancin')\n\n\nDance and shake the frame (you)\n\n\n\n\n\n[Childish Gambino]\n\n\nThis is America\n\n\nDon't catch you slippin' up\n\n\nDon't catch you slippin' up\n\n\nLook what I'm whippin' up\n\n\n\n\n\n\nThis is America (woo)\n\n\nDon't catch you slippin' up\n\n\nDon't catch you slippin' up\n\n\nLook what I'm whippin' up\n\n\n\n\n\n[Childish Gambino, Problem, Blocboy JB, Young Thug, 21 Savage & Big Sean]\n\n\nThis is America (skrrt, skrrt, woo)\n\n\nDon't catch you slippin' up (ayy)\n\n\nLook at how I'm livin' now\n\n\nPolice be trippin' now (woo)\n\n\nYeah, this is America (woo, ayy)\n\n\nGuns in my area (word, my area)\n\n\nI got the strap (ayy, ayy)\n\n\nI gotta carry 'em\n\n\nYeah, yeah, I'ma go into this (ugh)\n\n\nYeah, yeah, this is guerilla (woo)\n\n\nYeah, yeah, I'ma go get the bag\n\n\n\n\n\n\nYeah, yeah, or I'ma get the pad\n\n\nYeah, yeah, I'm so cold like yeah (yeah)\n\n\nI'm so dope like yeah (woo)\n\n\nWe gon' blow like yeah (straight up, uh)\n\n\n\n\n\n[Childish Gambino]\n\n\nOoh-ooh-ooh-ooh-ooh, tell somebody\n\n\nYou go tell somebody\n\n\nGrandma told me\n\n\nGet your money, Black man (get your money)\n\n\nGet your money, Black man (get your money)\n\n\nGet your money, Black man (get your, Black man)\n\n\nGet your money, Black man (get your, Black man)\n\n\nBlack man\n\n\n\n\n\n[Childish Gambino, Young Thug & Smokepurpp]\n\n\nThis is America (woo, ayy)\n\n\nDon't catch you slippin' up (woo, woo, don't catch you slippin', now)\n\n\n\n\n\n\nDon't catch you slippin' up (ayy, woah)\n\n\nLook what I'm whippin' up (Slime!)\n\n\nThis is America (yeah, yeah)\n\n\nDon't catch you slippin' up (woah, ayy)\n\n\nDon't catch you slippin' up (ayy, woo)\n\n\nLook what I'm whippin' up (ayy)\n\n\n\n\n\n[Childish Gambino, Offset, Young Thug, 21 Savage & Problem]\n\n\nLook how I'm geekin' out (hey)\n\n\nI'm so fitted (I'm so fitted, woo)\n\n\nI'm on Gucci (I'm on Gucci)\n\n\nI'm so pretty (yeah, yeah)\n\n\nI'm gon' get it (ayy, I'm gon' get it)\n\n\nWatch me move (blaow)\n\n\nThis a celly (ha)\n\n\nThat's a tool (yeah)\n\n\nOn my Kodak (woo, Black)\n\n\n\n\n\n\nOoh, know that (yeah, know that, hold on)\n\n\nGet it (get it, get it)\n\n\nOoh, work it (21)\n\n\nHunnid bands, hunnid bands, hunnid bands (hunnid bands)\n\n\nContraband, contraband, contraband (contraband)\n\n\nI got the plug on Oaxaca (woah)\n\n\nThey gonna find you that blocka (blaow)\n\n\n\n\n\n[Childish Gambino, Chance The Rapper & Young Thug]\n\n\nOoh-ooh-ooh-ooh-ooh, tell somebody\n\n\nAmerica, I just checked my following list and\n\n\nYou go tell somebody\n\n\nYou mothafuckas owe me\n\n\nGrandma told me\n\n\nGet your money, Black man (Black man)\n\n\nGet your money, Black man (Black man)\n\n\n\n\n\n\nGet your money, Black man (get your, Black man)\n\n\nGet your money, Black man (get your, Black man)\n\n\nBlack man\n\n\n1, 2, get down\n\n\nOoh-ooh-ooh-ooh-ooh, tell somebody\n\n\nYou go tell somebody\n\n\nGrandma told me, \""Get your money\""\n\n\nGet your money, Black man (Black man)\n\n\nGet your money, Black man (Black man)\n\n\nGet your money, Black man (Black man)\n\n\nGet your money, Black man (Black man)\n\n\nBlack man\n\n\n\n\n\n[Young Thug]\n\n\nYou just a Black man in this world\n\n\nYou just a barcode, ayy\n\n\nYou just a Black man in this world\n\n\nDrivin' expensive foreigns, yeah\n\n\n\n\n\n\nYou just a big dawg, yeah\n\n\nI kenneled him in the backyard\n\n\nThat probably ain't life for a dog\n\n\nFor a big dog"
12,BTS, “Fake Love”,"Fake Love par BTS\n[version romanisée]\n\n\n\n\n\n[ V, Jungkook]\n\n\nNeol wihaeseoramyeon nan\n\n\nSeulpeodo gippeun cheok hal suga isseosseo\n\n\nNeol wihaeseoramyeon nan\n\n\nApado ganghan cheok hal suga isseosseo\n\n\nSarangi sarangmaneuro wanbyeokhagil\n\n\nNae modeun yakjeomdeureun da sumgyeojigil\n\n\nIrwojiji anhneun kkumsogeseo\n\n\nPiul su eopsneun kkocheul kiwosseo\n\n\n\n\n\n[Jimin, Jin]\n\n\nI'm so sick of this fake love, fake love, fake love\n\n\nI'm so sorry but it's fake love, fake love, fake love\n\n\n\n\n\n\n\n\n\n[RM, RM & Jungkook, J-Hope]\n\n\nI wanna be a good man just for you\n\n\nSesangeul jwossne just for you\n\n\nJeonbu bakkwosseo just for you\n\n\nNow I don't know me, who are you?\n\n\nUrimanui sup neoneun eopseosseo\n\n\nNaega wassdeon route ijeobeoryeosseo\n\n\nNado naega nuguyeossneunjido jal moreuge dwaesseo\n\n\nGeoureda jikkeoryeobwa neoneun daeche nuguni\n\n\n\n\n\n[Jimin, Jin]\n\n\nNeol wihaeseoramyeon nan\n\n\nSeulpeodo gippeun cheok hal suga isseosseo\n\n\nNeol wihaeseoramyeon nan\n\n\nApado ganghan cheok hal suga isseosseo\n\n\nSarangi sarangmaneuro wanbyeokhagil\n\n\nNae modeun yakjeomdeureun da sumgyeojigil\n\n\n\n\n\n\nIrwojiji anhneun kkumsogeseo\n\n\nPiul su eopsneun kkocheul kiwosseo\n\n\n\n\n\n[Jungkook, V]\n\n\nLove you so bad, love you so bad\n\n\nNeol wihae yeppeun geojiseul bijeonae\n\n\nLove you so mad, love you so mad\n\n\nNal jiwo neoui inhyeongi doeryeo hae\n\n\nLove you so bad, love you so bad\n\n\nNeol wihae yeppeun geojiseul bijeonae\n\n\nLove you so mad, love you so mad\n\n\nNal jiwo neoui inhyeongi doeryeo hae\n\n\n\n\n\n[Jimin, Jin]\n\n\nI'm so sick of this fake love, fake love, fake love\n\n\nI'm so sorry but it's fake love, fake love, fake love\n\n\n\n\n\n\n\n\n\n[RM, Suga]\n\n\nWhy you sad? I don't know nan molla\n\n\nUseobwa saranghae malhaebwa\n\n\nNareul bwa najochado beorin na\n\n\nNeojocha ihaehal su eopsneun na\n\n\nNachseolda hane\n\n\nNiga johahadeon naro byeonhan naega\n\n\nAnira hane\n\n\nYejeone niga jal algo issdeon naega\n\n\nAnigin mwoga anya nan nun meoreosseo\n\n\nSarangeun mwoga sarang it's all fake love\n\n\n\n\n\n[Jimin, Jin]\n\n\n(Woo) I dunno I dunno I dunno why\n\n\n(Woo) nado nal nado nal moreugesseo\n\n\n(Woo) I just know I just know I just know why\n\n\nCuz its all fake love, fake love, fake love\n\n\n\n\n\n\n\n\n\n[Jungkook, Jimin]\n\n\nLove you so bad, love you so bad\n\n\nNeol wihae yeppeun geojiseul bijeonae\n\n\nLove you so mad, love you so mad\n\n\nNal jiwo neoui inhyeongi doeryeo hae\n\n\nLove you so bad, love you so bad\n\n\nNeol wihae yeppeun geojiseul bijeonae\n\n\nLove you so mad, love you so mad\n\n\nNal jiwo neoui inhyeongi doeryeo hae\n\n\n\n\n\n[Jimin, Jin]\n\n\nI'm so sick of this fake love, fake love, fake love\n\n\nI'm so sorry but it's fake love, fake love, fake love\n\n\n\n\n\n[Jimin/V, Jungkook/Jin]\n\n\n\n\n\n\nNeol wihaeseoramyeon nan\n\n\nSeulpeodo gippeun cheok hal suga isseosseo\n\n\nNeol wihaeseoramyeon nan\n\n\nApado ganghan cheok hal suga isseosseo\n\n\nSarangi sarangmaneuro wanbyeokhagil\n\n\nNae modeun yakjeomdeureun da sumgyeojigil\n\n\nIrwojiji anhneun kkumsogeseo\n\n\nPiul su eopsneun kkocheul kiwosseo"
13,Low Cut Connie, “Beverly”,
14,Christine and the Queens, “Doesn’t Matter”,
15,Rosalía, “Pienso En Tu Mirá (Cap. 3: Celos)”,"Pienso En Tu Mirá (Cap.3: Celos) par Rosalia\nMe da miedo cuando sales\n\n\nSonriendo pa' la calle\n\n\nPorque todos pueden ver\n\n\nLos hoyuelitos que te salen\n\n\n\n\n\nY del aire cuando pasa\n\n\nPor levantarte el cabello\n\n\nY del oro que te viste\n\n\nPor amarrarse a tu cuello\n\n\nY del cielo y de la luna\n\n\nPorque tú quieras mirarlos\n\n\nHasta del agua que bebes\n\n\nCuando te moja los labios\n\n\n\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\n\n\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\n\n\n\nPienso en tu mirá\n\n\nPienso en tu mirá\n\n\n\n\n\nMe da miedo cuando sales\n\n\nSonriendo pa' la calle\n\n\nPorque todos pueden ver\n\n\nLos hoyuelitos que te salen\n\n\n\n\n\nMe da miedo cuando sales\n\n\nSonriendo pa' la calle\n\n\nPorque todos pueden ver\n\n\nLos hoyuelitos que te salen\n\n\n\n\n\n\n\n\n\nTan bonita que amenaza\n\n\nCuando callas, me das miedo\n\n\nTan fría como la nieve\n\n\nCuando cae desde el cielo\n\n\nCuando sales por la puerta\n\n\nPienso que no vuelves nunca\n\n\nY si no te agarro fuerte\n\n\nSiento que será mi culpa\n\n\n\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\n\n\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\nPienso en tu mirá, tu mirá, clava' es una bala en el pecho\n\n\n\n\n\nPienso en tu mirá\n\n\nPienso en tu mirá\n\n\n(Pa' trá')\n\n\n\n\n\nMe da miedo cuando sales\n\n\nSonriendo pa' la calle\n\n\nPorque todos pueden ver\n\n\nLos hoyuelitos que te salen\n\n\n\n\n\nMe da miedo cuando sales\n\n\nSonriendo pa' la calle\n\n\nPorque todos pueden ver\n\n\nLos hoyuelitos que te salen"
16,Hop Along, “How Simple”,
17,Robyn, “Ever Again”,"Ever Again par Robyn\nCome on, let's have it out\n\n\nGo 'head and try a little crazy on me\n\n\nYou don't have to worry\n\n\nAbout the pulling and pushing away\n\n\nWe never used to get it right\n\n\nSo baby, alright for getting startled\n\n\nBut that's not how it's gonna be\n\n\nThat shit's out the door\n\n\nThat shit's out the door\n\n\n\n\n\nNever gonna be brokenhearted\n\n\nEver again\n\n\n(That shit's out the door)\n\n\nI'm only gonna sing about love\n\n\nEver again\n\n\nNever gonna let it happen\n\n\n\n\n\n\nThen it won't be all for nothing\n\n\nOh, I swear I'm never gonna be brokenhearted\n\n\nEver again\n\n\n\n\n\nCome on, let's have it out\n\n\nI just want you to be able to be yourself\n\n\nThere's nothing to worry about\n\n\nHow 'bout we stop arguing and do something else?\n\n\nSo many things we haven't tried\n\n\nBaby, you know we're just getting started\n\n\nDaddy issues and silly games\n\n\nThat shit got so lame\n\n\nThat shit got so lame\n\n\n\n\n\nNever gonna be brokenhearted\n\n\nEver again\n\n\n(That shit's out the door)\n\n\nI'm only gonna sing about love\n\n\n\n\n\n\nEver again\n\n\n(Never gonna be brokenhearted, baby)\n\n\nNever gonna let it happen\n\n\nThen it won't be all for nothing\n\n\nOh, I swear I'm never gonna be brokenhearted\n\n\nEver again\n\n\n\n\n\nCome on, let's have it out\n\n\n(Never gonna be brokenhearted)\n\n\nCome on, let's have it out\n\n\n(Never gonna be brokenhearted)\n\n\nCome on, let's have it out\n\n\n(Never gonna be brokenhearted)\n\n\n(Ever again)\n\n\nYou know you can trust me, right?\n\n\nCome on, let's have it out\n\n\n(Only gonna sing about love ever again)\n\n\nCome on, let's have it out\n\n\n\n\n\n\nCome on, let's have it out\n\n\nYou can trust me, babe\n\n\nIt ain't ever gonna be that way again\n\n\n\n\n\nNever gonna let it happen\n\n\n(No baby, never)\n\n\nThen it won't be all for nothing\n\n\nOh, I swear I'm never gonna be brokenhearted\n\n\nEver again\n\n\nNever gonna be brokenhearted\n\n\nEver again\n\n\n(Never, ever, ever)\n\n\nI'm only gonna sing about love\n\n\nEver again\n\n\n(Trust me, trust me)\n\n\nNever gonna let it happen\n\n\n(Then it won't be all for nothing, I swear)\n\n\nOh, I swear I'm never gonna be brokenhearted\n\n\n\n\n\n\nEver again\n\n\n(Ever again)\n\n\n\n\n\nNever gonna let it happen\n\n\n(Cool)\n\n\n(Ever again)\n\n\nNever gonna let it happen"
18,Hayley Kiyoko, “Curious”,"Curious par Hayley Kiyoko\nYeah\n\n\nI need a drink, whiskey ain't my thing\n\n\nBut shit is all good\n\n\nI can handle things- like I wish that you would\n\n\nYou've been out of reach, could you explain?\n\n\nI think that you should\n\n\nWhat you been up to?\n\n\nWho's been loving you good?\n\n\n\n\n\nI'm just on the floor, I’m like a model\n\n\nBeen looking through the texts and all the photos\n\n\nBut don't you worry, I can handle it\n\n\nNo, don't you worry, I can handle it\n\n\n\n\n\nIf you let him touch ya, touch ya, touch ya, touch ya, touch ya, touch ya (yeah)\n\n\n\n\n\n\nThe way I used to, used to, used to, used to, used to, used to (yeah)\n\n\nDid you take him to the pier in Santa Monica?\n\n\nForget to bring a jacket, wrap up in him cause you wanted to?\n\n\nI'm just curious, is it serious?\n\n\nI'm just curious, is it serious?\n\n\n\n\n\nCalling me up, so late at night\n\n\nAre we just friends?\n\n\nYou say you wanted me, but you're sleeping with him\n\n\nYou think of me, I'm what you see\n\n\nWhen you look at the sky\n\n\nI don't believe you\n\n\nYou ain't been loving me right (yeah)\n\n\n\n\n\nI'm just on the floor, I’m like a model\n\n\n\n\n\n\nBeen looking through the texts and all the photos\n\n\nBut don't you worry I can handle it\n\n\nNo, don't you worry I can handle it\n\n\n\n\n\nIf you let him touch ya, touch ya, touch ya, touch ya, touch ya, touch ya (yeah)\n\n\nThe way I used to, used to, used to, used to, used to, used to (yeah)\n\n\nDid you take him to the pier in Santa Monica?\n\n\nForget to bring a jacket, wrap up in him cause you wanted to?\n\n\nI'm just curious, is it serious?\n\n\nIf you let him touch ya, touch ya, touch ya, touch ya, touch ya, touch ya (yeah)\n\n\nThe way I used to, used to, used to, used to, used to, used to (yeah)\n\n\nDid you take him to the pier in Santa Monica?\n\n\nForget to bring a jacket, wrap up in him cause you wanted to?\n\n\n\n\n\n\nI'm just curious, is it serious?\n\n\n\n\n\nI'm just on the floor, I’m like a model\n\n\nBeen looking through the texts and all the photos\n\n\nBut don't you worry I can handle it\n\n\nNo, don't you worry I can handle it\n\n\nIf you let him, if you let him\n\n\n\n\n\nIf you let him touch ya, touch ya, touch ya, touch ya, touch ya, touch ya (yeah)\n\n\nThe way I used to, used to, used to, used to, used to, used to (yeah)\n\n\nDid you take him to the pier in Santa Monica?\n\n\nForget to bring a jacket, wrap up in him cause you wanted to?\n\n\nI'm just curious, is it serious?\n\n\nI'm just curious, is it serious?"
19,Lil Baby feat. Gunna, “Drip Too Hard”,
20,Lucy Dacus, “Night Shift”,"Night Shift par Lucy Dacus\nThe first time I tasted somebody else’s spit, I had a coughing fit\n\n\nI mistakenly called them by your name\n\n\nI was let down, it wasn’t the same\n\n\nI’m doing fine, trying to derail my one track mind\n\n\nRegaining my self-worth in record time\n\n\nBut I can’t help but think of your other in the bed that was mine\n\n\nAm I a masochist, resisting urges to punch you in the teeth\n\n\nCall you a bitch and leave?\n\n\nWhy did I come here? To sit and watch you stare at your feet?\n\n\nWhat was the plan? Absolve your guilt and shake hands?\n\n\n\n\n\n\n\n\n\nI feel no need to forgive but I might as well\n\n\nBut let me kiss your lips so I know how it felt\n\n\nPay for my coffee and leave before the sun goes down\n\n\nWalk for hours in the dark feeling all hell\n\n\n\n\n\nDon’t hold your breath, forget you ever saw me at my best\n\n\nYou don’t deserve what you don’t respect\n\n\nDon’t deserve what you say you love and then neglect\n\n\nNow bite your tongue, it’s too dangerous to fall so young\n\n\nTake back what you said\n\n\nCan’t lose what you never had\n\n\n\n\n\nI feel no need to forgive but I might as well\n\n\n\n\n\n\nBut let me kiss your lips so I know how it felt\n\n\nPay for my coffee and leave before the sun goes down\n\n\nWalk for hours in the dark feeling all hell\n\n\n\n\n\nYou got a 9 to 5, so I’ll take the night shift\n\n\nAnd I’ll never see you again if I can help it\n\n\nIn five years I hope the songs feel like covers\n\n\nDedicated to new lovers\n\n\n\n\n\nYou got a 9 to 5, so I’ll take the night shift\n\n\nAnd I’ll never see you again if I can help it\n\n\nIn five years I hope the songs feel like covers\n\n\nDedicated to new lovers\n\n\n\n\n\nYou got a 9 to 5, so I’ll take the night shift\n\n\nAnd I’ll never see you again if I can help it\n\n\nIn five years I hope the songs feel like covers\n\n\n\n\n\n\nDedicated to new lovers"
21,Pistol Annies, “Best Years of My Life”,
22,Stephen Malkmus & the Jicks, “Middle America”,
23,Tove Styrke, “Changed My Mind”,"Changed My Mind par Tove Styrke\nI'm not the one to tell you that you're not the one\n\n\nJust throw it out and take it back\n\n\nCould be the drinks or history\n\n\nBut either way you get to me, I give you that\n\n\n\n\n\nGot me up and down, but a lotta up without you\n\n\nI said I wouldn't try another time, but I'm down right now\n\n\nFeel the opposite about you\n\n\nDidn't think I'd ever do, but I want you to\n\n\n\n\n\nOoh, pull me closer\n\n\nAnd I changed my mind\n\n\nOoh, it ain't over\n\n\nAnd I changed my mind\n\n\n\n\n\n\nI wasn't really sure about us\n\n\nBut now I'm pretty sure about us\n\n\nOoh, pull me closer\n\n\n'Cause I changed my mind\n\n\n\n\n\nAnd I changed my mind\n\n\nI changed my mind\n\n\n\n\n\nThere's nothing wrong with hanging out and catching up\n\n\nBut I know when you're next to me\n\n\nI'm gonna fight myself and lose myself and find myself\n\n\nYeah, you have that effect on me\n\n\n\n\n\nGot me up and down, but a lotta up without you\n\n\nI said I'd never let myself rewind, but I'm down right now\n\n\n\n\n\n\nFeel the opposite about you\n\n\nDidn't think I'd ever do, but I want you to\n\n\n\n\n\nOoh, pull me closer\n\n\nAnd I changed my mind\n\n\nOoh, it ain't over\n\n\nAnd I changed my mind\n\n\nI wasn't really sure about us\n\n\nBut now I'm pretty sure about us\n\n\nOoh, pull me closer\n\n\n'Cause I changed my mind\n\n\n\n\n\nAnd I changed my mind\n\n\nI changed my mind\n\n\n\n\n\nI said I wouldn't let myself rewind but I\n\n\nI just needed to try another time 'cause I\n\n\nI changed my mind\n\n\n\n\n\n\nOoh, pull me closer, yeah\n\n\nOoh, it ain't over\n\n\n\n\n\nOoh, pull me closer\n\n\nAnd I changed my mind\n\n\nOoh, it ain't over\n\n\nAnd I changed my mind\n\n\n\n\n\nPull me closer\n\n\nI changed my mind\n\n\nI changed my mind"
24,Carly Rae Jepsen, “Party for One”,"Party For One par Carly Rae Jepsen\nIf you didn't know that you were right for me\n\n\nThen there's nothing I can say\n\n\nTried to call you out to spend some time to see\n\n\nBut somebody's in your way\n\n\nTried to let it go and say I'm over you\n\n\nI'm not over you\n\n\nBut I'm trying\n\n\n\n\n\nParty for one\n\n\nIf you don't care about me\n\n\nI'll just dance for myself\n\n\nBack on my beat\n\n\nI'll be the one\n\n\nIf you don't care about me\n\n\nMaking love to myself\n\n\nBack on my beat\n\n\n\n\n\n\n\n\n\nYou don't want my love\n\n\nIf you don't care about me\n\n\nI'll just dance for myself\n\n\nBack on my beat\n\n\nParty for one\n\n\nIf you don't care about me\n\n\nMaking love to myself\n\n\nBack on my beat\n\n\nAhh, ahh, ahh\n\n\n\n\n\nOnce upon a time, I thought you wanted me\n\n\nWas there no one else to kiss? (No one else to kiss)\n\n\nWas it all a dream I let myself believe?\n\n\nI'm not over this (I'm not over this)\n\n\nBut I'm trying\n\n\n\n\n\n\n\n\n\nParty for one (Hey)\n\n\nIf you don't care about me\n\n\nI'll just dance for myself\n\n\nBack on my beat\n\n\nI'll be the one\n\n\nIf you don't care about me\n\n\n(You don't care that I'm)\n\n\nMaking love to myself\n\n\nBack on my beat\n\n\n\n\n\nYou don't want my love\n\n\nIf you don't care about me\n\n\nI'll just dance for myself\n\n\nBack on my beat (Back on my beat)\n\n\nParty for one\n\n\nIf you don't care about me\n\n\n(You don't care about me)\n\n\nMaking love to myself (Hey)\n\n\n\n\n\n\nBack on my beat\n\n\nAhh, ahh (Back on my beat)\n\n\nAhh, ahh, ahh\n\n\n\n\n\nBack on my beat\n\n\nBack on my beat\n\n\nParty for one\n\n\n'Cause you don't care about me\n\n\nBack on my beat\n\n\nBack on my beat\n\n\nParty for one\n\n\nBack on my beat\n\n\n\n\n\nYou don't want my love\n\n\nIf you don't care about me\n\n\n(You don't care about me)\n\n\nI'll just dance for myself\n\n\nBack on my beat (Back on my beat)\n\n\n\n\n\n\nParty for one\n\n\nIf you don't care about me\n\n\n(You don't care that I'm)\n\n\nMaking love to myself\n\n\nBack on my beat\n\n\nAhh\n\n\n\n\n\nBack on my beat\n\n\nBack on my beat (Ahh)\n\n\nParty for one (Ahh)\n\n\n(Back on my beat)\n\n\nBack on my beat\n\n\nBack on my beat (Ahh)\n\n\nParty for one\n\n\nAhh"
25,Mitski, “A Pearl”,"A Pearl par Mitski\nYou're growing tired of me\n\n\nYou love me so hard and I still can't sleep\n\n\nYou're growing tired of me\n\n\nAnd all the things I don't talk about\n\n\n\n\n\nSorry I don't want your touch\n\n\nIt's not that I don't want you\n\n\nSorry I can't take your touch\n\n\n\n\n\nIt's just that I fell in love with a war\n\n\nNobody told me it ended\n\n\nAnd it left a pearl in my hand\n\n\nAnd I roll it around\n\n\nEvery night, just to watch it glow\n\n\nEvery night, baby, that's where I go\n\n\n\n\n\n\n\n\n\nSorry I don't want your touch\n\n\nIt's not that I don't want you\n\n\nSorry I can't take your touch\n\n\n\n\n\nThere's a hole that you fill\n\n\nYou fill, you fill\n\n\n\n\n\nBut it's just that I fell in love with a war\n\n\nAnd nobody told me it ended\n\n\nAnd it left a pearl in my hand\n\n\nAnd I roll it around\n\n\nEvery night, just to watch it glow\n\n\nEvery night, baby, that's where I go\n\n\nJust to watch it glow"
26,The Carters, “Ape Shit”,
27,Christina Aguilera, “Unless It’s With You”,
28,Karol G, “Mi Cama”,
29,Kurt Vile, “Bassackwards”,"Bassackwards par Kurt Vile\n[Spoken]\n\n\nWhat's in real...what's in real time?\n\n\nHa ha ha\n\n\n[?]\n\n\n\n\n\nI was on the beach, but I was thinking about the bay\n\n\nGot to the bay, but by then I was far away\n\n\nI was on the ground but looking straight into the sun\n\n\nBut the sun went down and I couldn't find another one\n\n\nFor awhile\n\n\nFor because it was an all-burning feeling in my chest\n\n\nTo fill the void\n\n\n\n\n\n\nOf a long night unwatched by, well, the sun\n\n\nUntil the morn\n\n\nUntil when, well, the sun's reborn\n\n\nAnd so am I\n\n\nFrom all the scorn buried deep\n\n\nWithin the psyche of my soul\n\n\nI was standing down but I was also on the run\n\n\nIn my mind\n\n\n\n\n\nI was on the radio talking with a friend of mine\n\n\nThere wasn't no format because well, we like it like that\n\n\nHe was out of his mind and I was way out of mine\n\n\nThen everything went backwards\n\n\nWith words coming out\n\n\nBassackwards\n\n\nAnd I appreciate him to the utmost degree\n\n\n\n\n\n\n\n\n\nI was on the beach, but I was thinking about the bay\n\n\nGot to the bay, but by then I was far away\n\n\nI was on the ground, but looking straight into the sun\n\n\nBut the sun went down and I couldn't find another one\n\n\nFor a while\n\n\nTo fill the void\n\n\nUntil the morn\n\n\nThen everything went backwards\n\n\nI mean, phrases flying out\n\n\nBassackwards\n\n\n\n\n\nI was on the Moon, but more so, I was in the grass\n\n\nSo I was chilling out, but with a very drifting mind\n\n\n\n\n\n\nSo I was on the ground circa planet Earth\n\n\nBut outta sorts, but I snapped back, baby\n\n\nJust in time to jot it down and come around\n\n\nIt's always nice to see you\n\n\nAnd I came around\n\n\nIt's always nice to see you here when I come around\n\n\nOr when I'm plain come, comin' down\n\n\n\n\n\nThen everything goes backwards\n\n\nI mean, everything moving out\n\n\nThen everything goes backwards\n\n\nI mean, everything oozing out\n\n\nBassackwards\n\n\n(Strumming a Chet Atkins)\n\n\n\n\n\nI was standing up\n\n\nBut you know I hate to still stoop you down\n\n\n\n\n\n\nTo my level\n\n\n\n\n\nBassackwards\n\n\nAnd I appreciate her to the utmost degree\n\n\n\n\n\nThen everything went backwards\n\n\nI mean, words coming out\n\n\nBassackwards\n\n\n\n\n\nJust the way things is these days\n\n\nJust the way they come out these days\n\n\nJust the way things come out\n\n\nYeah, c'mon\n\n\nTo the utmost degree"
30,The 1975, “Love It If We Made It”,"Love It If We Made It par The 1975\nWe're fucking in a car, shooting heroin\n\n\nSaying controversial things just for the hell of it\n\n\nSelling melanin and then suffocate the black men\n\n\nStart with misdemeanours and we'll make a business out of them\n\n\nAnd we can find out the information\n\n\nAccess all the applications that are hardening positions based on miscommunication\n\n\nOh! Fuck your feelings!\n\n\nTruth is only hearsay!\n\n\nWe're just left to decay!\n\n\nModernity has failed us\n\n\n\n\n\nAnd I'd love it if we made it\n\n\nYes, I'd love it if we made it\n\n\n\n\n\n\nYes, I'd love it if we made it\n\n\nYes, I'd love it if we made it\n\n\n\n\n\nAnd poison me daddy\n\n\nI got the Jones right through my bones\n\n\nWrite it on a piece of stone\n\n\nA beach of drowning 3 year olds\n\n\nRest in peace Lil Peep\n\n\nThe poetry is in the streets\n\n\nJesus save us!\n\n\nModernity has failed us\n\n\n\n\n\nAnd I'd love it if we made it\n\n\nYes, I'd love it if we made it\n\n\nYes, I'd love it if we made it\n\n\nYes, I'd love it if we made it\n\n\nAnd I'd love it if we made it\n\n\nAnd I'd love it if we made it\n\n\n\n\n\n\nAnd I'd love it if we made it\n\n\nI'd love it if we made it\n\n\n\n\n\nTell me something I didn't know\n\n\n\n\n\nConsultation\n\n\nDegradation\n\n\nFossil fuelling\n\n\nMasturbation\n\n\nImmigration\n\n\nLiberal kitsch\n\n\nKneeling on a pitch\n\n\n\""I moved on her like a bitch!\""\n\n\nExcited to be indicted\n\n\nUnrequited house with seven pools\n\n\n\""Thank you Kanye, very cool!\""\n\n\nThe war has been incited and guess what, you're all invited\n\n\n\n\n\n\nAnd you're famous\n\n\nModernity has failed us\n\n\n\n\n\nAnd I'd love it if we made it\n\n\nAnd I'd love it if we made it\n\n\nAnd I'd love it if we made it\n\n\nTell me something I didn't know\n\n\nAnd I'd love it if we made it\n\n\nAnd I'd love it if we made it\n\n\nAnd I'd love it if we made it\n\n\nAnd I'd love it if we made it"
31,J Balvin and Nicky Jam, “X”,
